symbol,lookback,fib_level,require_candle_direction,allow_shorts,markov_gate,markov_window,markov_threshold,min_train,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_annualized_return,train_sharpe,train_max_drawdown,train_avg_trade_return_net,train_exposure,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_annualized_return,test_sharpe,test_max_drawdown,test_avg_trade_return_net,test_exposure
^IXIC,3,0.382,True,False,off,20,0.03,126,753,27,27,0,13,14,0.48148148148148145,-0.012299982981519797,-0.03863858037853107,-0.013100710480982602,-0.28893801823647036,-0.07641592448215673,-0.0013589053200962014,0.035856573705179286,503,22,22,0,13,9,0.5909090909090909,-0.00743155978026,-0.029049767374762503,-0.01466080542032333,-0.287806107242427,-0.06758405452617322,-0.0012368246242043044,0.0437375745526839
^IXIC,3,0.382,True,False,off,20,0.03,252,753,27,27,0,13,14,0.48148148148148145,-0.012299982981519797,-0.03863858037853107,-0.013100710480982602,-0.28893801823647036,-0.07641592448215673,-0.0013589053200962014,0.035856573705179286,503,22,22,0,13,9,0.5909090909090909,-0.00743155978026,-0.029049767374762503,-0.01466080542032333,-0.287806107242427,-0.06758405452617322,-0.0012368246242043044,0.0437375745526839
^IXIC,3,0.382,True,False,off,20,0.05,126,753,27,27,0,13,14,0.48148148148148145,-0.012299982981519797,-0.03863858037853107,-0.013100710480982602,-0.28893801823647036,-0.07641592448215673,-0.0013589053200962014,0.035856573705179286,503,22,22,0,13,9,0.5909090909090909,-0.00743155978026,-0.029049767374762503,-0.01466080542032333,-0.287806107242427,-0.06758405452617322,-0.0012368246242043044,0.0437375745526839
^IXIC,3,0.382,True,False,off,20,0.05,252,753,27,27,0,13,14,0.48148148148148145,-0.012299982981519797,-0.03863858037853107,-0.013100710480982602,-0.28893801823647036,-0.07641592448215673,-0.0013589053200962014,0.035856573705179286,503,22,22,0,13,9,0.5909090909090909,-0.00743155978026,-0.029049767374762503,-0.01466080542032333,-0.287806107242427,-0.06758405452617322,-0.0012368246242043044,0.0437375745526839
^IXIC,3,0.382,True,False,off,40,0.03,126,753,27,27,0,13,14,0.48148148148148145,-0.012299982981519797,-0.03863858037853107,-0.013100710480982602,-0.28893801823647036,-0.07641592448215673,-0.0013589053200962014,0.035856573705179286,503,22,22,0,13,9,0.5909090909090909,-0.00743155978026,-0.029049767374762503,-0.01466080542032333,-0.287806107242427,-0.06758405452617322,-0.0012368246242043044,0.0437375745526839
^IXIC,3,0.382,True,False,off,40,0.03,252,753,27,27,0,13,14,0.48148148148148145,-0.012299982981519797,-0.03863858037853107,-0.013100710480982602,-0.28893801823647036,-0.07641592448215673,-0.0013589053200962014,0.035856573705179286,503,22,22,0,13,9,0.5909090909090909,-0.00743155978026,-0.029049767374762503,-0.01466080542032333,-0.287806107242427,-0.06758405452617322,-0.0012368246242043044,0.0437375745526839
^IXIC,3,0.382,True,False,off,40,0.05,126,753,27,27,0,13,14,0.48148148148148145,-0.012299982981519797,-0.03863858037853107,-0.013100710480982602,-0.28893801823647036,-0.07641592448215673,-0.0013589053200962014,0.035856573705179286,503,22,22,0,13,9,0.5909090909090909,-0.00743155978026,-0.029049767374762503,-0.01466080542032333,-0.287806107242427,-0.06758405452617322,-0.0012368246242043044,0.0437375745526839
^IXIC,3,0.382,True,False,off,40,0.05,252,753,27,27,0,13,14,0.48148148148148145,-0.012299982981519797,-0.03863858037853107,-0.013100710480982602,-0.28893801823647036,-0.07641592448215673,-0.0013589053200962014,0.035856573705179286,503,22,22,0,13,9,0.5909090909090909,-0.00743155978026,-0.029049767374762503,-0.01466080542032333,-0.287806107242427,-0.06758405452617322,-0.0012368246242043044,0.0437375745526839
^IXIC,3,0.382,True,False,long_nonnegative,20,0.03,126,753,16,16,0,8,8,0.5,-0.032924617303738746,-0.04831581117107653,-0.016436532412010485,-0.4778842283169862,-0.08728531826025598,-0.0029887482558760142,0.021248339973439574,503,17,17,0,10,7,0.5882352941176471,0.022643648226789104,0.005418636766412854,0.0027110444171216663,0.10277157770118402,-0.03459646072856104,0.00037479981141024405,0.033797216699801194
^IXIC,3,0.382,True,False,long_nonnegative,20,0.03,252,753,20,20,0,11,9,0.55,0.010260359221069937,-0.009746292642785037,-0.003272340498293169,-0.06240418555917244,-0.07641592448215673,-0.00037084985350758755,0.02656042496679947,503,17,17,0,10,7,0.5882352941176471,0.022643648226789104,0.005418636766412854,0.0027110444171216663,0.10277157770118402,-0.03459646072856104,0.00037479981141024405,0.033797216699801194
