symbol,lookback,fib_level,require_candle_direction,allow_shorts,markov_gate,markov_window,markov_threshold,min_train,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_annualized_return,train_sharpe,train_max_drawdown,train_avg_trade_return_net,train_exposure,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_annualized_return,test_sharpe,test_max_drawdown,test_avg_trade_return_net,test_exposure
NQ=F,3,0.382,True,False,off,20,0.03,126,756,35,35,0,19,16,0.5428571428571428,0.06848453970178192,0.031780517672800546,0.010483223879636627,0.2248384992413557,-0.03961695770173157,0.0010116353130079382,0.046296296296296294,504,29,29,0,13,16,0.4482758620689655,-0.052619037975378924,-0.07976397086829667,-0.04071066453769889,-0.8053735782910137,-0.1082310718914502,-0.0027790156729235404,0.057539682539682536
NQ=F,3,0.382,True,False,off,20,0.03,252,756,35,35,0,19,16,0.5428571428571428,0.06848453970178192,0.031780517672800546,0.010483223879636627,0.2248384992413557,-0.03961695770173157,0.0010116353130079382,0.046296296296296294,504,29,29,0,13,16,0.4482758620689655,-0.052619037975378924,-0.07976397086829667,-0.04071066453769889,-0.8053735782910137,-0.1082310718914502,-0.0027790156729235404,0.057539682539682536
NQ=F,3,0.382,True,False,off,20,0.05,126,756,35,35,0,19,16,0.5428571428571428,0.06848453970178192,0.031780517672800546,0.010483223879636627,0.2248384992413557,-0.03961695770173157,0.0010116353130079382,0.046296296296296294,504,29,29,0,13,16,0.4482758620689655,-0.052619037975378924,-0.07976397086829667,-0.04071066453769889,-0.8053735782910137,-0.1082310718914502,-0.0027790156729235404,0.057539682539682536
NQ=F,3,0.382,True,False,off,20,0.05,252,756,35,35,0,19,16,0.5428571428571428,0.06848453970178192,0.031780517672800546,0.010483223879636627,0.2248384992413557,-0.03961695770173157,0.0010116353130079382,0.046296296296296294,504,29,29,0,13,16,0.4482758620689655,-0.052619037975378924,-0.07976397086829667,-0.04071066453769889,-0.8053735782910137,-0.1082310718914502,-0.0027790156729235404,0.057539682539682536
NQ=F,3,0.382,True,False,off,40,0.03,126,756,35,35,0,19,16,0.5428571428571428,0.06848453970178192,0.031780517672800546,0.010483223879636627,0.2248384992413557,-0.03961695770173157,0.0010116353130079382,0.046296296296296294,504,29,29,0,13,16,0.4482758620689655,-0.052619037975378924,-0.07976397086829667,-0.04071066453769889,-0.8053735782910137,-0.1082310718914502,-0.0027790156729235404,0.057539682539682536
NQ=F,3,0.382,True,False,off,40,0.03,252,756,35,35,0,19,16,0.5428571428571428,0.06848453970178192,0.031780517672800546,0.010483223879636627,0.2248384992413557,-0.03961695770173157,0.0010116353130079382,0.046296296296296294,504,29,29,0,13,16,0.4482758620689655,-0.052619037975378924,-0.07976397086829667,-0.04071066453769889,-0.8053735782910137,-0.1082310718914502,-0.0027790156729235404,0.057539682539682536
NQ=F,3,0.382,True,False,off,40,0.05,126,756,35,35,0,19,16,0.5428571428571428,0.06848453970178192,0.031780517672800546,0.010483223879636627,0.2248384992413557,-0.03961695770173157,0.0010116353130079382,0.046296296296296294,504,29,29,0,13,16,0.4482758620689655,-0.052619037975378924,-0.07976397086829667,-0.04071066453769889,-0.8053735782910137,-0.1082310718914502,-0.0027790156729235404,0.057539682539682536
NQ=F,3,0.382,True,False,off,40,0.05,252,756,35,35,0,19,16,0.5428571428571428,0.06848453970178192,0.031780517672800546,0.010483223879636627,0.2248384992413557,-0.03961695770173157,0.0010116353130079382,0.046296296296296294,504,29,29,0,13,16,0.4482758620689655,-0.052619037975378924,-0.07976397086829667,-0.04071066453769889,-0.8053735782910137,-0.1082310718914502,-0.0027790156729235404,0.057539682539682536
NQ=F,3,0.382,True,False,long_nonnegative,20,0.03,126,756,23,23,0,11,12,0.4782608695652174,-0.0005719836853508298,-0.02330959180778902,-0.007831028869772716,-0.24841349219382355,-0.04931971836961502,-0.0009672063785860689,0.03042328042328042,504,25,25,0,11,14,0.44,-0.027677139789692773,-0.05172360131157616,-0.02620515574972171,-0.7144966079819788,-0.07078311855259489,-0.002071481557299397,0.0496031746031746
NQ=F,3,0.382,True,False,long_nonnegative,20,0.03,252,756,25,25,0,13,12,0.52,0.06993194565804228,0.04357016545613179,0.0143174216209494,0.3680242689055938,-0.03961695770173157,0.0018052468566926506,0.03306878306878307,504,25,25,0,11,14,0.44,-0.027677139789692773,-0.05172360131157616,-0.02620515574972171,-0.7144966079819788,-0.07078311855259489,-0.002071481557299397,0.0496031746031746
