phase,adx_period,regime_adx_low,regime_adx_high,mr_z_window,mr_z_threshold,mr_rsi_long,mr_hold,mr_stop_atr,bo_lookback,bo_vol_threshold,bo_hold,bo_stop_atr,bo_entry,trades,mr_trades,bo_trades,wins,losses,win_rate,gross_total_return,net_total_return,avg_trade_return_net,sharpe_per_bar,max_drawdown,exposure,gate
4,20,15.0,30.0,50,3.0,30.0,20,0.8,30,2.5,20,1.7,close_break,34,7,27,13,21,0.38235294117647056,0.03942486684338342,-0.002108559615565775,-5.5555234373800694e-05,-0.4562168332071348,-0.023170928710413707,0.019990079365079363,no_go
4,20,15.0,30.0,50,3.0,30.0,20,1.1,30,2.5,20,1.7,close_break,34,7,27,13,21,0.38235294117647056,0.039085508363186916,-0.0024347495586357626,-6.515411571850335e-05,-0.5343617325478079,-0.023170928710413596,0.020089285714285716,no_go
4,20,15.0,30.0,50,3.0,30.0,20,0.8,30,2.5,20,2.3,close_break,32,7,25,13,19,0.40625,0.03597041543990498,-0.0030376918501180405,-8.779266329544261e-05,-0.6624316727712419,-0.023821273589494485,0.021577380952380952,no_go
4,20,15.0,30.0,50,3.0,30.0,20,1.1,30,2.5,20,2.3,close_break,32,7,25,13,19,0.40625,0.03563218479243169,-0.0033635780791981817,-9.799147472418918e-05,-0.7384893740239399,-0.023821273589494374,0.0216765873015873,no_go
4,20,15.0,30.0,50,3.0,30.0,20,0.8,30,2.5,23,1.7,close_break,34,7,27,13,21,0.38235294117647056,0.037776121525791906,-0.0036932959623451334,-0.00010295440957235917,-0.8915712574523217,-0.02186049524779321,0.02177579365079365,no_go
4,20,15.0,30.0,50,3.0,30.0,25,0.8,30,2.5,20,1.7,close_break,34,7,27,12,22,0.35294117647058826,0.03723564954535297,-0.0042128222350877875,-0.00011757188126031371,-0.9604087145660478,-0.02641010419528167,0.02123015873015873,no_go
4,20,15.0,30.0,50,3.0,30.0,20,1.1,30,2.5,23,1.7,close_break,34,7,27,13,21,0.38235294117647056,0.037437301339149576,-0.004018967888085756,-0.00011255329091706183,-0.973317745790429,-0.021860495247792988,0.021875,no_go
4,20,15.0,30.0,50,3.5,30.0,20,0.5,30,2.5,20,1.7,close_break,29,2,27,10,19,0.3448275862068966,0.03084086414390952,-0.0044001246138619665,-0.0001447042851993863,-1.0334100156520087,-0.02445531251806543,0.01691468253968254,no_go
4,20,15.0,30.0,50,3.5,30.0,20,0.8,30,2.5,20,1.7,close_break,29,2,27,10,19,0.3448275862068966,0.03084086414390952,-0.0044001246138619665,-0.0001447042851993863,-1.0334100156520087,-0.02445531251806543,0.01691468253968254,no_go
4,20,15.0,30.0,50,3.5,30.0,20,1.1,30,2.5,20,1.7,close_break,29,2,27,10,19,0.3448275862068966,0.03084086414390952,-0.0044001246138619665,-0.0001447042851993863,-1.0334100156520087,-0.02445531251806543,0.01691468253968254,no_go
4,20,15.0,30.0,50,3.5,30.0,25,0.5,30,2.5,20,1.7,close_break,29,2,27,10,19,0.3448275862068966,0.030820526282046012,-0.004419788765920751,-0.0001454433788835871,-1.0427982079688578,-0.024912543483070704,0.017410714285714286,no_go
4,20,15.0,30.0,50,3.5,30.0,25,0.8,30,2.5,20,1.7,close_break,29,2,27,10,19,0.3448275862068966,0.030820526282046012,-0.004419788765920751,-0.0001454433788835871,-1.0427982079688578,-0.024912543483070704,0.017410714285714286,no_go
4,20,15.0,30.0,50,3.5,30.0,25,1.1,30,2.5,20,1.7,close_break,29,2,27,10,19,0.3448275862068966,0.030820526282046012,-0.004419788765920751,-0.0001454433788835871,-1.0427982079688578,-0.024912543483070704,0.017410714285714286,no_go
4,20,15.0,30.0,50,3.0,30.0,25,1.1,30,2.5,20,1.7,close_break,34,7,27,12,22,0.35294117647058826,0.036766382161624644,-0.004663878870753924,-0.0001308746810956679,-1.0672551780726598,-0.026532900106928325,0.02132936507936508,no_go
4,20,15.0,30.0,50,3.0,30.0,20,0.8,30,2.5,20,2.0,close_break,34,7,27,13,21,0.38235294117647056,0.036363216622115946,-0.005051403682373001,-0.00014218553945891723,-1.1473497088782234,-0.025922349317270554,0.02058531746031746,no_go
4,20,15.0,30.0,50,3.0,30.0,25,0.8,30,2.5,20,2.3,close_break,32,7,25,12,20,0.375,0.033788473843090694,-0.005139995200173608,-0.0001536853506123627,-1.1537953944507375,-0.027058292523896132,0.022817460317460316,no_go
4,20,15.0,30.0,50,3.0,30.0,20,1.1,30,2.5,20,2.0,close_break,34,7,27,13,21,0.38235294117647056,0.03602485773024888,-0.005376631670966359,-0.0001517844208036199,-1.223302322277554,-0.025922349317270776,0.02068452380952381,no_go
4,20,15.0,30.0,50,3.5,30.0,20,0.5,30,2.5,20,2.3,close_break,27,2,25,10,17,0.37037037037037035,0.02741494103633646,-0.005327123182545135,-0.00018951524176026452,-1.2290344588491804,-0.025104802291113226,0.018501984126984127,no_go
4,20,15.0,30.0,50,3.5,30.0,20,0.8,30,2.5,20,2.3,close_break,27,2,25,10,17,0.37037037037037035,0.02741494103633646,-0.005327123182545135,-0.00018951524176026452,-1.2290344588491804,-0.025104802291113226,0.018501984126984127,no_go
4,20,15.0,30.0,50,3.5,30.0,20,1.1,30,2.5,20,2.3,close_break,27,2,25,10,17,0.37037037037037035,0.02741494103633646,-0.005327123182545135,-0.00018951524176026452,-1.2290344588491804,-0.025104802291113226,0.018501984126984127,no_go
4,20,15.0,30.0,50,3.5,30.0,25,0.5,30,2.5,20,2.3,close_break,27,2,25,10,17,0.37037037037037035,0.027394670765847895,-0.005346769025399545,-0.00019030908312477648,-1.2388270341232632,-0.02556172884480845,0.01899801587301587,no_go
4,20,15.0,30.0,50,3.5,30.0,25,0.8,30,2.5,20,2.3,close_break,27,2,25,10,17,0.37037037037037035,0.027394670765847895,-0.005346769025399545,-0.00019030908312477648,-1.2388270341232632,-0.02556172884480845,0.01899801587301587,no_go
4,20,15.0,30.0,50,3.5,30.0,25,1.1,30,2.5,20,2.3,close_break,27,2,25,10,17,0.37037037037037035,0.027394670765847895,-0.005346769025399545,-0.00019030908312477648,-1.2388270341232632,-0.02556172884480845,0.01899801587301587,no_go
4,20,15.0,30.0,50,3.0,30.0,25,1.1,30,2.5,20,2.3,close_break,32,7,25,12,20,0.375,0.033320766034686145,-0.005590631859033857,-0.00016781957543742648,-1.2578628448521678,-0.027181006681534225,0.022916666666666665,no_go
4,20,15.0,30.0,50,3.0,30.0,20,0.8,30,2.5,23,2.3,close_break,32,7,25,12,20,0.375,0.03352805683399085,-0.005390876765271502,-0.0001623583458929441,-1.2907296234307648,-0.023267798210955593,0.02351190476190476,no_go
4,20,15.0,30.0,50,3.0,30.0,20,1.1,30,2.5,23,2.3,close_break,32,7,25,12,20,0.375,0.0331906235843209,-0.005715993787178686,-0.00017255715732169066,-1.3699630163478929,-0.02326779821095548,0.02361111111111111,no_go
4,20,15.0,30.0,50,3.5,35.0,20,0.5,30,2.5,20,1.7,close_break,30,3,27,10,20,0.3333333333333333,0.030475314509655682,-0.005947897183682493,-0.0001917012443932559,-1.4122856090202487,-0.025971907030828856,0.016964285714285713,no_go
4,20,15.0,30.0,50,3.0,30.0,25,0.8,30,2.5,23,1.7,close_break,34,7,27,12,22,0.35294117647058826,0.03559037678444521,-0.005794216834135946,-0.00016497105645887222,-1.4202663886965519,-0.025104016143819186,0.023015873015873017,no_go
4,20,15.0,30.0,50,3.5,35.0,25,0.5,30,2.5,20,1.7,close_break,30,3,27,10,20,0.3333333333333333,0.030454983859864004,-0.005967530765593532,-0.00019241570162131666,-1.4231266011596437,-0.026428427178604164,0.01746031746031746,no_go
4,20,15.0,30.0,50,3.0,30.0,15,0.8,30,2.5,20,1.7,close_break,34,7,27,12,22,0.35294117647058826,0.03526367178558787,-0.006108255587010336,-0.00017392617734454964,-1.4560225018814879,-0.027156018333457044,0.01875,no_go
