vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
90,240,1.5,30,65,1.0,0.8,20,-26.422301,16,-0.019721,-0.019721,0.1875,no_go
120,180,1.5,30,65,1.0,0.8,20,-26.469204,16,-0.019838,-0.019838,0.1875,no_go
120,240,1.5,30,65,1.0,0.8,15,-26.483427,15,-0.018953,-0.018953,0.1333,no_go
60,240,1.5,25,65,1.0,0.8,20,-27.351316,13,-0.018557,-0.018557,0.1538,no_go
90,240,1.5,25,65,1.0,0.8,15,-27.727684,12,-0.017445,-0.017445,0.0833,no_go
90,240,1.5,30,65,1.0,0.8,15,-27.854882,16,-0.020374,-0.020374,0.125,no_go
120,180,1.5,25,65,1.0,0.8,15,-27.867873,12,-0.017874,-0.017874,0.0833,no_go
60,240,1.5,30,65,1.0,0.8,20,-27.936865,17,-0.02156,-0.02156,0.1765,no_go
120,180,1.5,30,65,1.0,0.8,15,-28.038142,16,-0.020801,-0.020801,0.125,no_go
90,180,1.5,25,65,1.0,0.8,20,-28.775783,14,-0.020034,-0.020034,0.1429,no_go
120,240,1.0,25,65,1.0,0.8,20,-28.812562,14,-0.02016,-0.02016,0.1429,no_go
60,180,1.5,25,65,1.0,0.8,20,-28.86544,14,-0.020349,-0.020349,0.1429,no_go
60,240,1.5,25,65,1.0,0.8,15,-29.252989,13,-0.019289,-0.019289,0.0769,no_go
90,180,1.5,30,65,1.0,0.8,20,-29.258996,18,-0.023032,-0.023032,0.1667,no_go
120,240,1.0,30,65,1.0,0.8,20,-29.304658,18,-0.023158,-0.023158,0.1667,no_go
60,240,1.5,30,65,1.0,0.8,15,-29.329947,17,-0.022212,-0.022212,0.1176,no_go
60,180,1.5,30,65,1.0,0.8,20,-29.370827,18,-0.023347,-0.023347,0.1667,no_go
120,240,1.0,25,65,1.0,0.8,15,-30.666751,14,-0.02089,-0.02089,0.0714,no_go
120,240,1.0,30,65,1.0,0.8,15,-30.674534,18,-0.023809,-0.023809,0.1111,no_go
90,180,1.5,25,65,1.0,0.8,15,-30.741816,14,-0.021073,-0.021073,0.0714,no_go
90,180,1.5,30,65,1.0,0.8,15,-30.76143,18,-0.023991,-0.023991,0.1111,no_go
90,240,1.5,35,70,1.0,0.8,15,-30.779766,17,-0.024622,-0.024622,0.0588,no_go
60,180,1.5,25,65,1.0,0.8,15,-30.801878,14,-0.021389,-0.021389,0.0714,no_go
60,180,1.5,30,65,1.0,0.8,15,-30.856652,18,-0.024306,-0.024306,0.1111,no_go
90,240,1.5,35,70,1.0,0.8,20,-31.599361,17,-0.026056,-0.026056,0.1176,no_go
120,180,1.0,25,65,1.0,0.8,20,-31.619991,16,-0.023607,-0.023607,0.125,no_go
120,180,1.0,30,65,1.0,0.8,20,-31.979403,20,-0.026595,-0.026595,0.15,no_go
120,240,1.5,25,60,1.0,0.8,15,-32.195467,18,-0.024496,-0.024496,0.1111,no_go
120,240,1.5,25,60,1.0,0.8,20,-32.235809,18,-0.024886,-0.024886,0.1111,no_go
