symbol,strategy,bb_window,squeeze_quantile,volume_multiple,rsi_min,atr_period,atr_stop,atr_trail,max_hold,markov_gate,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_avg_trade_return_net,train_median_trade_return_net,train_profit_factor,train_sharpe_per_bar,train_max_drawdown,train_exposure,train_trades_per_day,train_fee_to_gross_profit,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_avg_trade_return_net,test_median_trade_return_net,test_profit_factor,test_sharpe_per_bar,test_max_drawdown,test_exposure,test_trades_per_day,test_fee_to_gross_profit,all_bars,all_trades,all_long_trades,all_short_trades,all_wins,all_losses,all_win_rate,all_gross_total_return,all_net_total_return,all_avg_trade_return_net,all_median_trade_return_net,all_profit_factor,all_sharpe_per_bar,all_max_drawdown,all_exposure,all_trades_per_day,all_fee_to_gross_profit
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.0,20,off,14112,88,47,41,3,85,0.03409090909090909,-0.0007205511339640758,-0.10092165972301537,-0.0012080101081507549,-0.001386556901245638,0.9607293788714443,-51.37113073066303,-0.10092165972301537,0.007582199546485261,8.980228190773156,6.123638784801517,6048,48,19,29,2,46,0.041666666666666664,-0.002827609707155565,-0.058677628154991,-0.001258834110519467,-0.0014330874947570337,0.7235132243910526,-59.22266955018858,-0.058677628154991,0.00958994708994709,11.430461385811148,7.7943507302583015,20160,136,66,70,5,131,0.03676470588235294,-0.0035461234037388323,-0.1536774442559954,-0.001225947991339712,-0.0014102578097192275,0.8746987625595875,-53.84415465886103,-0.1536774442559954,0.00818452380952381,9.714767597599087,6.624824070565041
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.0,20,trend_only,14112,30,13,17,1,29,0.03333333333333333,-0.0013522456844071717,-0.036686532413261363,-0.0012449721349752998,-0.0014159348622400302,0.8024725921107515,-30.922207331319473,-0.036686532413261363,0.00248015873015873,3.0614414286726666,6.5680265083186,6048,27,6,21,1,26,0.037037037037037035,0.0002589587797772186,-0.03164858578487362,-0.0011901898937092305,-0.001430555679863853,1.0477973805061094,-42.37247283810831,-0.03164858578487362,0.005291005291005291,6.42963452951877,5.580001566947981,20160,57,19,38,2,55,0.03508771929824561,-0.0010936370805223472,-0.06717404132990412,-0.0012190226522703197,-0.001430555679863853,0.9123581284360555,-34.73133061107938,-0.06717404132990412,0.0033234126984126983,4.071630537229029,6.05977465618776
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.0,40,off,14112,88,47,41,3,85,0.03409090909090909,-0.0007205511339640758,-0.10092165972301537,-0.0012080101081507549,-0.001386556901245638,0.9607293788714443,-51.37113073066303,-0.10092165972301537,0.007582199546485261,8.980228190773156,6.123638784801517,6048,48,19,29,2,46,0.041666666666666664,-0.002827609707155565,-0.058677628154991,-0.001258834110519467,-0.0014330874947570337,0.7235132243910526,-59.22266955018858,-0.058677628154991,0.00958994708994709,11.430461385811148,7.7943507302583015,20160,136,66,70,5,131,0.03676470588235294,-0.0035461234037388323,-0.1536774442559954,-0.001225947991339712,-0.0014102578097192275,0.8746987625595875,-53.84415465886103,-0.1536774442559954,0.00818452380952381,9.714767597599087,6.624824070565041
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.0,40,trend_only,14112,30,13,17,1,29,0.03333333333333333,-0.0013522456844071717,-0.036686532413261363,-0.0012449721349752998,-0.0014159348622400302,0.8024725921107515,-30.922207331319473,-0.036686532413261363,0.00248015873015873,3.0614414286726666,6.5680265083186,6048,27,6,21,1,26,0.037037037037037035,0.0002589587797772186,-0.03164858578487362,-0.0011901898937092305,-0.001430555679863853,1.0477973805061094,-42.37247283810831,-0.03164858578487362,0.005291005291005291,6.42963452951877,5.580001566947981,20160,57,19,38,2,55,0.03508771929824561,-0.0010936370805223472,-0.06717404132990412,-0.0012190226522703197,-0.001430555679863853,0.9123581284360555,-34.73133061107938,-0.06717404132990412,0.0033234126984126983,4.071630537229029,6.05977465618776
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.5,20,off,14112,86,47,39,6,80,0.06976744186046512,0.0004987112457133236,-0.09765902463201293,-0.001193958055042101,-0.0014349840535734725,1.0273723110542001,-48.941524311244756,-0.09773703244768817,0.007582199546485261,8.776132095528311,5.291613202424458,6048,47,18,29,2,45,0.0425531914893617,-0.002097856794484154,-0.056856147770004695,-0.0012445055514741603,-0.001445025988782288,0.8068749047978533,-57.88092043531529,-0.056856147770004695,0.00958994708994709,11.192326773606748,6.4535631146298975,20160,133,65,68,8,125,0.06015037593984962,-0.001600191773546089,-0.14896265646646534,-0.0012118207041571895,-0.0014442454003379612,0.9472680652931775,-51.76759653682141,-0.14896265646646534,0.00818452380952381,9.500471253534402,5.651174359911467
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.5,20,trend_only,14112,28,13,15,1,27,0.03571428571428571,-0.0011732801887421873,-0.03419715498399378,-0.0012418036932928943,-0.0014849972774296438,0.8170364470260831,-30.016412343458867,-0.03419715498399378,0.00248015873015873,2.8573453334278223,6.428205443735413,6048,26,5,21,2,24,0.07692307692307693,0.0011090014062022924,-0.029660263100909523,-0.0011571081835763041,-0.0014638322858756202,1.184882714311102,-40.38450193445527,-0.029660263100909523,0.005291005291005291,6.191499917314371,4.365437272808593,20160,54,18,36,3,51,0.05555555555555555,-6.557995191924793e-05,-0.06284312147077542,-0.0012010243737997214,-0.0014789555877460436,0.995549544367177,-33.41178082124531,-0.06284312147077542,0.0033234126984126983,3.8573341931643434,5.236780634133374
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.5,40,off,14112,86,47,39,6,80,0.06976744186046512,0.0004987112457133236,-0.09765902463201293,-0.001193958055042101,-0.0014349840535734725,1.0273723110542001,-48.941524311244756,-0.09773703244768817,0.007582199546485261,8.776132095528311,5.291613202424458,6048,47,18,29,2,45,0.0425531914893617,-0.002097856794484154,-0.056856147770004695,-0.0012445055514741603,-0.001445025988782288,0.8068749047978533,-57.88092043531529,-0.056856147770004695,0.00958994708994709,11.192326773606748,6.4535631146298975,20160,133,65,68,8,125,0.06015037593984962,-0.001600191773546089,-0.14896265646646534,-0.0012118207041571895,-0.0014442454003379612,0.9472680652931775,-51.76759653682141,-0.14896265646646534,0.00818452380952381,9.500471253534402,5.651174359911467
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.5,40,trend_only,14112,28,13,15,1,27,0.03571428571428571,-0.0011732801887421873,-0.03419715498399378,-0.0012418036932928943,-0.0014849972774296438,0.8170364470260831,-30.016412343458867,-0.03419715498399378,0.00248015873015873,2.8573453334278223,6.428205443735413,6048,26,5,21,2,24,0.07692307692307693,0.0011090014062022924,-0.029660263100909523,-0.0011571081835763041,-0.0014638322858756202,1.184882714311102,-40.38450193445527,-0.029660263100909523,0.005291005291005291,6.191499917314371,4.365437272808593,20160,54,18,36,3,51,0.05555555555555555,-6.557995191924793e-05,-0.06284312147077542,-0.0012010243737997214,-0.0014789555877460436,0.995549544367177,-33.41178082124531,-0.06284312147077542,0.0033234126984126983,3.8573341931643434,5.236780634133374
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.0,20,off,14112,88,47,41,3,85,0.03409090909090909,-0.0039042699882647636,-0.10378957405640621,-0.0012442551162836484,-0.0013877277277099186,0.8157702826612254,-51.224469349173624,-0.10378957405640621,0.007582199546485261,8.980228190773156,6.123638784801517,6048,48,19,29,2,46,0.041666666666666664,-0.004503934331154813,-0.060261964915278465,-0.0012938718092547557,-0.0014836925036344694,0.6232194569288861,-59.14170085025453,-0.060261964915278465,0.00958994708994709,11.430461385811148,7.728469935949492,20160,136,66,70,5,131,0.03676470588235294,-0.00839061974378108,-0.15779697530132653,-0.001261766890273451,-0.0014317958060390478,0.7461985549208987,-53.719279592431604,-0.15779697530132653,0.00818452380952381,9.714767597599087,6.607926384577537
ETHUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.0,20,trend_only,14112,30,13,17,1,29,0.03333333333333333,-0.0024776674815358835,-0.037773438642182966,-0.0012825379391272769,-0.0013718372677247947,0.6888193368101688,-30.766907775653046,-0.037773438642182966,0.00248015873015873,3.0614414286726666,6.5680265083186,6048,27,6,21,1,26,0.037037037037037035,-0.0004927754484299607,-0.032377214628267814,-0.0012180232863576645,-0.001430555679863853,0.9226723907691339,-42.34369832099119,-0.032377214628267814,0.005291005291005291,6.42963452951877,5.580001566947981,20160,57,19,38,2,55,0.03508771929824561,-0.002969221996261484,-0.06892765454028515,-0.0012519783667627239,-0.0013988958105245685,0.7920911339487824,-34.63218750105814,-0.06892765454028515,0.0033234126984126983,4.071630537229029,6.05977465618776
