symbol,strategy,bb_window,squeeze_quantile,volume_multiple,rsi_min,atr_period,atr_stop,atr_trail,max_hold,markov_gate,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_avg_trade_return_net,train_median_trade_return_net,train_profit_factor,train_sharpe_per_bar,train_max_drawdown,train_exposure,train_trades_per_day,train_fee_to_gross_profit,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_avg_trade_return_net,test_median_trade_return_net,test_profit_factor,test_sharpe_per_bar,test_max_drawdown,test_exposure,test_trades_per_day,test_fee_to_gross_profit,all_bars,all_trades,all_long_trades,all_short_trades,all_wins,all_losses,all_win_rate,all_gross_total_return,all_net_total_return,all_avg_trade_return_net,all_median_trade_return_net,all_profit_factor,all_sharpe_per_bar,all_max_drawdown,all_exposure,all_trades_per_day,all_fee_to_gross_profit
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.0,20,off,14112,92,41,51,2,90,0.021739130434782608,0.0020805123412284132,-0.10271833070013714,-0.0011773308471143063,-0.001290107449389587,1.1822368953736357,-55.65378850417385,-0.10271833070013714,0.007582199546485261,9.388420381262845,8.159766927804815,6048,46,20,26,1,45,0.021739130434782608,0.004400685461924292,-0.04956627486596965,-0.001104441298707987,-0.0012451470594568514,2.0755213774215315,-58.92046635706075,-0.04956627486596965,0.009093915343915343,10.95419216140235,6.507330182047011,20160,138,61,77,3,135,0.021739130434782608,0.006490353483566524,-0.1471932405528501,-0.0011530343309788665,-0.0012740014949067723,1.4173038797375883,-56.64976881443768,-0.1471932405528501,0.008035714285714285,9.857631826975545,7.522984712992205
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.0,20,trend_only,14112,48,10,38,2,46,0.041666666666666664,0.0019823002970951187,-0.05413164290251393,-0.001158626191211279,-0.0013180171349778324,1.299467597194664,-39.099139506231715,-0.05413164290251393,0.003897392290249433,4.8983062858762665,6.684056717021733,6048,12,7,5,1,11,0.08333333333333333,0.0027700621061037545,-0.011571622364170753,-0.0009692236955232623,-0.0012198370752304,3.782249017503977,-26.464037383178468,-0.011571622364170753,0.0023148148148148147,2.857615346452787,3.8250393782320407,20160,60,17,43,3,57,0.05,0.004757853498134512,-0.06507687433706455,-0.0011207456920736762,-0.0012797111438332053,1.6234826610845778,-35.76666515415518,-0.06507687433706455,0.0034226190476190476,4.285926881293715,5.814804177561631
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.0,40,off,14112,92,41,51,2,90,0.021739130434782608,0.0020805123412284132,-0.10271833070013714,-0.0011773308471143063,-0.001290107449389587,1.1822368953736357,-55.65378850417385,-0.10271833070013714,0.007582199546485261,9.388420381262845,8.159766927804815,6048,46,20,26,1,45,0.021739130434782608,0.004400685461924292,-0.04956627486596965,-0.001104441298707987,-0.0012451470594568514,2.0755213774215315,-58.92046635706075,-0.04956627486596965,0.009093915343915343,10.95419216140235,6.507330182047011,20160,138,61,77,3,135,0.021739130434782608,0.006490353483566524,-0.1471932405528501,-0.0011530343309788665,-0.0012740014949067723,1.4173038797375883,-56.64976881443768,-0.1471932405528501,0.008035714285714285,9.857631826975545,7.522984712992205
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.0,40,trend_only,14112,48,10,38,2,46,0.041666666666666664,0.0019823002970951187,-0.05413164290251393,-0.001158626191211279,-0.0013180171349778324,1.299467597194664,-39.099139506231715,-0.05413164290251393,0.003897392290249433,4.8983062858762665,6.684056717021733,6048,12,7,5,1,11,0.08333333333333333,0.0027700621061037545,-0.011571622364170753,-0.0009692236955232623,-0.0012198370752304,3.782249017503977,-26.464037383178468,-0.011571622364170753,0.0023148148148148147,2.857615346452787,3.8250393782320407,20160,60,17,43,3,57,0.05,0.004757853498134512,-0.06507687433706455,-0.0011207456920736762,-0.0012797111438332053,1.6234826610845778,-35.76666515415518,-0.06507687433706455,0.0034226190476190476,4.285926881293715,5.814804177561631
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.5,20,off,14112,89,39,50,5,84,0.056179775280898875,0.00524294179772733,-0.09663501820203968,-0.001141095369593401,-0.0013611272180737088,1.387325944303087,-52.12098002414707,-0.09663501820203968,0.007582199546485261,9.082276238395577,5.6876110717357165,6048,45,20,25,2,43,0.044444444444444446,0.004424984151607747,-0.04840133644404354,-0.001101766399806899,-0.0012327282994455612,1.9624961302922692,-57.606611783554534,-0.04840133644404354,0.009093915343915343,10.71605754919795,5.991166209785474,20160,134,59,75,7,127,0.05223880597014925,0.009691125883696916,-0.14035909061780982,-0.0011278878797397252,-0.0013357812203878205,1.5330470369784335,-53.79588382517932,-0.14035909061780982,0.008035714285714285,9.57190336822263,5.7860613550046045
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.5,20,trend_only,14112,46,9,37,5,41,0.10869565217391304,0.0073280557339927554,-0.046792868416038136,-0.0010410282314982178,-0.0013450301415890641,2.0485824978154943,-34.61492436278178,-0.046792868416038136,0.003897392290249433,4.694210190631423,3.8637621784286327,6048,12,7,5,2,10,0.16666666666666666,0.003975588854469914,-0.010381909985813231,-0.0008690055526765334,-0.001009158083690419,3.6739196437143526,-24.159235500136038,-0.011268301571393136,0.0023148148148148147,2.857615346452787,2.6386344995113626,20160,58,16,42,7,51,0.1206896551724138,0.011332777925163295,-0.05668897905397796,-0.0010054373324316626,-0.0013334817844249602,2.3339872804282176,-31.834480226273662,-0.05668897905397796,0.0034226190476190476,4.1430626519172575,3.5251283772976154
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.5,40,off,14112,88,39,49,5,83,0.056818181818181816,0.004942437442704728,-0.09582037840070479,-0.0011438016146557513,-0.00136255255603681,1.3653790618537693,-51.09066642029483,-0.09582037840070479,0.007582199546485261,8.980228190773156,5.714099860253762,6048,45,20,25,2,43,0.044444444444444446,0.004424984151607747,-0.04840133644404354,-0.001101766399806899,-0.0012327282994455612,1.9624961302922692,-57.606611783554534,-0.04840133644404354,0.009093915343915343,10.71605754919795,5.991166209785474,20160,133,59,74,7,126,0.05263157894736842,0.009389291801666033,-0.13958388047158032,-0.0011295791735414782,-0.0013362527193113915,1.5166604630590719,-53.0690792939725,-0.13958388047158032,0.008035714285714285,9.500471253534402,5.804930062057292
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,0.8,1.5,40,trend_only,14112,45,9,36,5,40,0.1111111111111111,0.0070269280611707785,-0.04593328177724776,-0.001044096729884699,-0.0013547505617138788,2.005987317763403,-33.23612565234392,-0.04593328177724776,0.003897392290249433,4.592162143009,3.8600270137842547,6048,12,7,5,2,10,0.16666666666666666,0.003975588854469914,-0.010381909985813231,-0.0008690055526765334,-0.001009158083690419,3.6739196437143526,-24.159235500136038,-0.011268301571393136,0.0023148148148148147,2.857615346452787,2.6386344995113626,20160,57,16,41,7,50,0.12280701754385964,0.011030453092522041,-0.05583831656629645,-0.001007235429419822,-0.0013353097214642495,2.298871698152989,-30.79249411393829,-0.05583831656629645,0.0034226190476190476,4.071630537229029,3.5172687305290817
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.0,20,off,14112,92,41,51,2,90,0.021739130434782608,0.0012579477360783464,-0.10345575562529641,-0.0011862506470971723,-0.0012815356729790827,1.0993810533241517,-55.46908205450042,-0.10345575562529641,0.007582199546485261,9.388420381262845,7.889588176194103,6048,46,20,26,1,45,0.021739130434782608,0.0037056995340736254,-0.050224708885648894,-0.001119485037325994,-0.0012451470594568514,1.7749836818635856,-58.8258351310597,-0.050224708885648894,0.009093915343915343,10.95419216140235,6.507330182047011,20160,138,61,77,3,135,0.021739130434782608,0.004968308846491354,-0.1484844293021199,-0.0011639954438401128,-0.0012686975616477347,1.2838042516906474,-56.493918473182944,-0.1484844293021199,0.008035714285714285,9.857631826975545,7.367902533868576
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.0,20,trend_only,14112,48,10,38,2,46,0.041666666666666664,0.0018421506243582186,-0.05426410311491958,-0.0011615332420312418,-0.0013229366392870855,1.2552240769817622,-38.93431237973572,-0.05426410311491958,0.003897392290249433,4.8983062858762665,6.343019433202727,6048,12,7,5,1,11,0.08333333333333333,0.0026915030704672827,-0.011649150906631767,-0.0009757501522870995,-0.0012198370752304,3.506357444546319,-26.451570336052956,-0.011649150906631767,0.0023148148148148147,2.857615346452787,3.8250393782320407,20160,60,17,43,3,57,0.05,0.004538611848887708,-0.06528112329555269,-0.0011243766240824138,-0.0012755168262132066,1.5461411499868367,-35.63896564686048,-0.06528112329555269,0.0034226190476190476,4.285926881293715,5.605068786638745
