timestamp,open,high,low,close,volume,turnover,tpv,rsi14,atr14,ret1,markov_score
2026-05-10 23:44:00,2376.44,2378.72,2376.25,2377.7,149.84,356274.8115,356253.0909333333,50.0,,,0.0
2026-05-10 23:45:00,2377.7,2378.87,2375.85,2375.93,321.5,764326.6863,764167.9916666666,50.0,,-0.0007444168734491718,0.0
2026-05-10 23:46:00,2375.93,2376.11,2374.95,2375.72,247.88,588777.6576,588862.0754666665,50.0,,-8.838644236153215e-05,0.0
2026-05-10 23:47:00,2375.72,2375.99,2374.09,2374.69,296.86,705129.4284,705019.7407333334,50.0,,-0.00043355277557954874,0.0
2026-05-10 23:48:00,2374.69,2374.99,2373.88,2374.2,421.52,1000809.3555,1000838.8221333333,50.0,,-0.00020634272262920472,0.0
2026-05-10 23:49:00,2374.2,2375.2,2374.02,2374.46,150.17,356552.5955,356587.67519999994,50.0,,0.00010951057198216319,0.0
2026-05-10 23:50:00,2374.46,2374.72,2372.23,2373.45,565.72,1342587.5343,1342717.5626666667,50.0,,-0.00042535987129710406,0.0
2026-05-10 23:51:00,2373.45,2373.46,2372.13,2372.96,170.47,404482.6097,404499.73949999997,50.0,,-0.00020645052560608335,0.0
2026-05-10 23:52:00,2372.96,2373.68,2372.01,2372.46,184.4,437591.8145,437528.95333333337,50.0,,-0.00021070730227223944,0.0
2026-05-10 23:53:00,2372.46,2372.93,2371.83,2372.0,213.44,506318.3141,506333.7514666667,50.0,,-0.00019389157246063604,0.0
2026-05-10 23:54:00,2372.0,2372.0,2370.75,2371.08,366.81,869823.2726,869807.9941,50.0,,-0.00038785834738619407,0.0
2026-05-10 23:55:00,2371.08,2371.08,2368.86,2368.98,997.03,2362638.4934,2362602.1692,50.0,,-0.0008856723518396725,0.0
2026-05-10 23:56:00,2368.98,2368.99,2366.47,2367.73,1239.44,2934369.8785,2934659.2711999994,50.0,,-0.000527653251610416,0.0
2026-05-10 23:57:00,2367.73,2369.29,2367.73,2369.2,357.55,846873.7036,846942.9870000001,50.0,2.014133953031738,0.000620847816262815,0.0
2026-05-10 23:58:00,2369.2,2369.2,2367.55,2368.27,225.89,534963.9158,534984.3226,8.518180952853157,1.9881243849580166,-0.0003925375654229013,0.0
2026-05-10 23:59:00,2368.27,2370.8,2367.12,2370.27,1461.34,3461863.9023,3462494.1248666667,18.497294563180958,2.108972643175322,0.0008444983046695942,0.0
2026-05-11 00:00:00,2370.27,2374.09,2369.84,2371.92,1213.22,2877676.8456,2877697.1790000005,25.69832144771999,2.261903168662799,0.0006961232264679484,0.0
2026-05-11 00:01:00,2371.92,2372.99,2371.23,2371.4,431.06,1022481.7129,1022419.7190666666,24.950152474373922,2.2260529423297255,-0.00021923167729098747,0.0
2026-05-11 00:02:00,2371.4,2372.7,2369.2,2372.48,1241.7,2943870.6533,2944641.8819999998,29.538456474913318,2.317049160734745,0.00045542717382129894,0.0
2026-05-11 00:03:00,2372.48,2372.58,2370.03,2371.79,1574.07,3732003.8788,3732854.536,28.346101081650218,2.3336885063965296,-0.0002908349069328242,0.0
2026-05-11 00:04:00,2371.79,2371.79,2368.73,2369.38,660.84,1566219.1446,1566168.772,24.609525300215793,2.385567898796774,-0.0010161101952532725,0.0
2026-05-11 00:05:00,2369.38,2371.75,2369.38,2370.86,1288.19,3053517.6997,3053864.799366667,30.654930395616375,2.384455906025568,0.0006246359807207114,0.0
2026-05-11 00:06:00,2370.86,2370.87,2366.8,2366.8,825.25,1954461.7442,1954321.2891666668,24.783755175686395,2.504851912738007,-0.0017124587702352922,0.0
