timestamp,open,high,low,close,volume,turnover,tpv,rsi14,atr14,ret1,markov_score
2026-05-10 23:43:00,82327.7,82345.8,82305.5,82313.7,31.945,2629943.3491,2629765.641666667,50.0,,,0.0
2026-05-10 23:44:00,82313.7,82361.7,82313.7,82344.7,21.476,1768306.4766,1768334.5558666664,50.0,,0.0003766080251526027,0.0
2026-05-10 23:45:00,82344.7,82371.0,82285.0,82304.9,61.568,5069273.3642,5068296.2304,50.0,,-0.00048333408221779006,0.0
2026-05-10 23:46:00,82304.9,82317.7,82279.0,82317.6,29.925,2462575.2094,2462970.1425000005,50.0,,0.00015430430023011255,0.0
2026-05-10 23:47:00,82317.6,82334.1,82271.3,82297.1,27.454,2259506.9995,2259487.0783333336,50.0,,-0.0002490354432101993,0.0
2026-05-10 23:48:00,82297.1,82313.8,82295.7,82300.3,27.386,2253905.4528,2253957.260933333,50.0,,3.8883508653331234e-05,0.0
2026-05-10 23:49:00,82300.3,82323.8,82261.6,82286.7,18.53,1524806.0909,1524846.6710000003,50.0,,-0.00016524848633603373,0.0
2026-05-10 23:50:00,82286.7,82295.2,82180.5,82224.4,67.376,5539544.3175,5540555.312533334,50.0,,-0.0007571089860208824,0.0
2026-05-10 23:51:00,82224.4,82233.5,82173.6,82188.7,52.049,4278159.6514,4278354.931399999,50.0,,-0.0004341776893476146,0.0
2026-05-10 23:52:00,82188.7,82229.9,82174.1,82191.9,23.175,1904994.7491,1904953.3275,50.0,,3.893479273919809e-05,0.0
2026-05-10 23:53:00,82191.9,82203.3,82169.7,82169.7,13.77,1131736.2752,1131630.993,50.0,,-0.00027009960835555624,0.0
2026-05-10 23:54:00,82169.7,82169.8,82134.1,82148.5,37.864,3110379.5476,3110557.8912,50.0,,-0.00025800264574404874,0.0
2026-05-10 23:55:00,82148.5,82148.5,82069.2,82085.4,60.501,4967721.8372,4967194.6177,50.0,,-0.0007681211464604099,0.0
2026-05-10 23:56:00,82085.4,82096.0,82039.9,82054.6,61.328,5032475.3181,5032790.328000001,50.0,51.04090949510235,-0.000375218979258074,0.0
2026-05-10 23:57:00,82054.6,82127.3,82054.5,82123.7,45.868,3765733.9227,3765846.891333333,53.75129748819498,52.59513024545239,0.0008421221966836701,0.0
2026-05-10 23:58:00,82123.7,82139.6,82089.0,82134.5,55.391,4548047.5683,4548766.157366667,54.90582047424037,52.45262094220621,0.00013150893103941463,0.0
2026-05-10 23:59:00,82134.5,82181.9,82105.1,82181.9,61.009,5011073.4187,5012273.7067,59.664924270541505,54.19171944633351,0.0005771021921359143,0.0
2026-05-11 00:00:00,82181.9,82350.0,82157.9,82249.0,137.044,11274254.062,11272184.201200001,65.2550906308391,64.04231091445297,0.0008164814880162741,0.0
2026-05-11 00:01:00,82249.0,82270.4,82202.1,82202.1,50.926,4188665.0439,4187383.559866667,59.09062487604811,64.34643156341978,-0.0005702196987196206,0.0
