sample_index,timestamp,timestamp_ms,symbol,update_id,seq,best_bid,best_ask,best_bid_qty,best_ask_qty,mid,spread,spread_bps,microprice_top1,microprice_top1_edge_bps,bid_qty_top1,ask_qty_top1,bid_notional_top1,ask_notional_top1,imbalance_qty_top1,imbalance_notional_top1,wap_bid_top1,wap_ask_top1,pressure_price_top1,pressure_edge_bps_top1,bid_qty_delta_top1,ask_qty_delta_top1,orderbook_delta_imbalance_top1,bid_qty_top5,ask_qty_top5,bid_notional_top5,ask_notional_top5,imbalance_qty_top5,imbalance_notional_top5,wap_bid_top5,wap_ask_top5,pressure_price_top5,pressure_edge_bps_top5,bid_qty_delta_top5,ask_qty_delta_top5,orderbook_delta_imbalance_top5,bid_qty_top10,ask_qty_top10,bid_notional_top10,ask_notional_top10,imbalance_qty_top10,imbalance_notional_top10,wap_bid_top10,wap_ask_top10,pressure_price_top10,pressure_edge_bps_top10,bid_qty_delta_top10,ask_qty_delta_top10,orderbook_delta_imbalance_top10,bid_qty_top25,ask_qty_top25,bid_notional_top25,ask_notional_top25,imbalance_qty_top25,imbalance_notional_top25,wap_bid_top25,wap_ask_top25,pressure_price_top25,pressure_edge_bps_top25,bid_qty_delta_top25,ask_qty_delta_top25,orderbook_delta_imbalance_top25,bid_qty_top50,ask_qty_top50,bid_notional_top50,ask_notional_top50,imbalance_qty_top50,imbalance_notional_top50,wap_bid_top50,wap_ask_top50,pressure_price_top50,pressure_edge_bps_top50,bid_qty_delta_top50,ask_qty_delta_top50,orderbook_delta_imbalance_top50,new_trade_count,aggressive_buy_count,aggressive_sell_count,aggressive_buy_qty,aggressive_sell_qty,aggressive_buy_notional,aggressive_sell_notional,aggressive_flow_qty_imbalance,aggressive_flow_notional_imbalance
0,2026-05-24T23:50:56.644000+00:00,1779666656644,BTCUSDT,13679354,578680307631,77074.2,77074.3,5.598,1.947,77074.25,0.10000000000582077,0.01297450186097442,77074.27419483101,0.003139158799992053,5.598,1.947,431461.37159999995,150063.66210000002,0.48389662027833,0.4838961234559143,77074.2,77074.3,77074.27419483101,0.003139158799992053,0.0,0.0,0.0,5.666999999999999,1.9949999999999997,436779.4146999999,153763.24240000002,0.4792482380579483,0.4792476358775131,77074.18646550203,77074.30696741857,77074.27559162588,0.0033203859753000494,0.0,0.0,0.0,5.7749999999999995,2.0409999999999995,445103.2291999999,157308.75720000002,0.4777379733879223,0.47773696157650003,77074.15224242423,77074.35433610978,77074.30156318088,0.006690065862619897,0.0,0.0,0.0,6.419999999999998,2.7009999999999974,494813.9113999998,208180.24410000004,0.40774037934437046,0.40773264622112465,77073.81797507788,77075.24772306562,77074.8243320652,0.07451672448273691,0.0,0.0,0.0,9.644999999999994,6.489999999999995,743359.4799999997,500244.0546,0.1955376510691045,0.19549271020542486,77072.00414722656,77079.2071802774,77076.30989583365,0.2672612232553187,0.0,0.0,0.0,100,6,94,0.8290000000000001,0.8340000000000003,63894.64109999999,64282.170699999995,-0.0030066145520145676,-0.0030233986518925235
0,2026-05-24T23:50:57.192000+00:00,1779666657192,ETHUSDT,13674010,389015807458,2101.85,2101.86,89.81,1.35,2101.855,0.010000000000218279,0.04757702125131505,2101.8598519087323,0.023083936485793422,89.81,1.35,188767.1485,2837.5110000000004,0.9703817463799913,0.9703816075516681,2101.85,2101.86,2101.8598519087323,0.023083936485793422,0.0,0.0,0.0,90.15,3.3200000000000003,189481.7627,6978.3204000000005,0.9289611640098429,0.9289594070216496,2101.8498358291736,2101.903734939759,2101.901820474721,0.22275787207390235,0.0,0.0,0.0,95.20000000000002,3.63,200095.5856,7629.933400000001,0.9265405241323486,0.9265383142453478,2101.8443865546215,2101.9100275482097,2101.9076165717174,0.2503339750715824,0.0,0.0,0.0,204.57999999999993,27.150000000000002,429976.5368,57072.4015,0.7656755707072885,0.7656399716250034,2101.7525505914564,2102.11423572744,2102.0718598959033,1.0317547875725306,0.0,0.0,0.0,470.7399999999999,262.59999999999997,989298.7059,552066.1388999999,0.28382469250279535,0.28366584879307616,2101.5819898457753,2102.308221249048,2102.0481667497716,0.9190298558727183,0.0,0.0,0.0,100,5,95,2.02,11.809999999999985,4246.177600000001,24824.528799999993,-0.7078814172089657,-0.7078724168876747
1,2026-05-24T23:50:57.643000+00:00,1779666657643,BTCUSDT,13679359,578680311220,77074.2,77074.3,3.454,4.008,77074.25,0.10000000000582077,0.01297450186097442,77074.24628785849,-0.00048163186900990884,3.454,4.008,266214.2868,308913.7944,-0.0742428303403913,-0.07424347548968195,77074.2,77074.3,77074.24628785849,-0.00048163186900990884,-2.1439999999999997,2.061,-1.0,3.5189999999999997,4.056000000000001,271224.0443,312613.3747,-0.07089108910891105,-0.07089187683600659,77074.18138675761,77074.30342702167,77074.23808110603,-0.0015464171200623871,-2.1479999999999992,2.0610000000000013,-1.0,3.558999999999999,4.068,274306.9354999999,313538.2865,-0.06673659368034625,-0.06673755187891975,77074.16001685867,77074.30838249755,77074.22924896944,-0.0026923428463693586,-2.2160000000000006,2.027,-1.0,5.065999999999997,4.761,390451.4766999999,366953.2813999999,0.031036939045486628,0.03102462065190447,77072.93262929335,77074.83331232933,77073.9124665031,-0.04379328983445499,-1.354000000000001,2.0600000000000027,-1.0,8.643999999999998,7.501000000000003,666199.2010000001,578156.9833,0.0707959120470731,0.07075322870639922,77070.7081212402,77077.320797227,77074.24853444737,-0.00019014815350112843,-1.000999999999996,1.0110000000000081,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-05-24T23:50:58.393000+00:00,1779666658393,ETHUSDT,13674016,389015809530,2101.83,2101.84,0.08,142.69,2101.835,0.010000000000218279,0.04757747397021307,2101.830005603418,-0.02376207733660535,0.08,142.69,168.1464,299911.5496,-0.9988793163829934,-0.9988793217119226,2101.83,2101.84,2101.830005603418,-0.02376207733660535,-89.73,141.34,-1.0,0.17,168.98000000000002,357.3071,355169.5587,-0.9979899497487439,-0.9979899853745456,2101.8064705882352,2101.8437608000945,2101.8065080658353,-0.13555742560560874,-89.98,165.66000000000003,-1.0,0.7,172.63,1471.2319000000002,362841.68969999993,-0.9919229215946462,-0.9919232516182044,2101.7598571428575,2101.8460852690723,2101.760205378526,-0.35585391562235597,-94.50000000000001,169.0,-1.0,69.78,269.94,146651.8331,567398.0475000001,-0.5891910985517484,-0.5892392476089438,2101.631314130123,2101.941348077351,2101.694996482759,-0.6661013697125815,-134.79999999999993,242.79,-1.0,263.18,541.3799999999999,553069.2358999999,1138056.4742000003,-0.34577905936163855,-0.3459158800592114,2101.4865715479896,2102.13985407662,2101.7002671031814,-0.641025089117865,-207.5599999999999,278.7799999999999,-1.0,17,0,17,0.0,0.7400000000000001,0.0,1555.3634999999995,-1.0,-1.0
2,2026-05-24T23:50:58.643000+00:00,1779666658643,BTCUSDT,13679364,578680323592,77063.9,77064.0,13.937,0.037,77063.95,0.10000000000582077,0.012976235971011187,77063.99973522255,0.006453759838449164,13.937,0.037,1074039.5743,2851.368,0.994704451123515,0.994704444270076,77063.90000000001,77064.0,77063.99973522255,0.006453759838449164,10.482999999999999,-3.971,1.0,13.945999999999998,0.10600000000000001,1074733.1475999998,8168.8992,0.9849131796185596,0.9849129490074575,77063.89987093073,77065.08679245281,77065.07783901691,0.14635105219980005,10.426999999999998,-3.950000000000001,1.0,14.151999999999997,0.18200000000000002,1090608.0753999997,14026.023500000001,0.9746058322868704,0.9746051230647921,77063.88322498587,77066.06318681319,77066.03550765506,0.2706203944990047,10.592999999999998,-3.8859999999999997,1.0,14.884999999999996,3.162,1147093.2017999995,243695.61319999996,0.6495816479193216,0.6495577034102045,77063.70183406112,77070.08640101201,77068.96776629717,0.6511171951566389,9.818999999999999,-1.5990000000000002,1.0,18.444999999999997,9.216,1421416.4285999995,710304.6134999999,0.33364665051878095,0.3335857746187418,77062.424971537,77072.98323567708,77069.46546833985,0.7157001866446973,9.800999999999998,1.7149999999999963,0.7021535255296983,100,13,87,0.023000000000000003,0.2580000000000001,1772.4846,19883.963999999985,-0.8362989323843417,-0.8363088396681992
2,2026-05-24T23:50:58.992000+00:00,1779666658992,ETHUSDT,13674019,389015814616,2101.74,2101.75,79.57,13.82,2101.745,0.010000000000218279,0.04757951131187789,2101.748520184174,0.016748864273492516,79.57,13.82,167235.45179999998,29046.185,0.7040368347788843,0.704035634983048,2101.74,2101.75,2101.748520184174,0.016748864273492516,79.49,-128.87,1.0,83.59,13.93,175684.2976,29277.386899999998,0.714315012305168,0.7143135608841077,2101.7382174901304,2101.7506748025844,2101.7488953690067,0.018533975372088743,83.42,-155.05,1.0,88.13000000000001,14.19,185225.8057,29823.874,0.7226348709929633,0.7226327047628706,2101.7338670146373,2101.7529245947853,2101.7502816406973,0.025129788330059705,87.43,-158.44,1.0,214.43000000000006,24.83,450655.4433,52189.186600000015,0.7924433670483995,0.7924242062190112,2101.643628690015,2101.8601127668153,2101.8376464137814,0.4408071092425324,144.65000000000006,-245.11,1.0,444.21999999999997,181.35,933528.489,381229.8256,0.4202087696021229,0.42007618987222795,2101.500357930755,2102.177146953405,2101.9809487833245,1.1226327804971685,181.03999999999996,-360.02999999999986,1.0,6,6,0,0.42000000000000004,0.0,882.7350000000001,0.0,1.0,1.0
3,2026-05-24T23:50:59.443000+00:00,1779666659443,BTCUSDT,13679368,578680330494,77068.4,77068.5,14.975,3.414,77068.45,0.10000000000582077,0.012975478293104475,77068.48143455325,0.004078783633685119,14.975,3.414,1154099.2899999998,263111.859,0.6286910653107837,0.6286906729661919,77068.4,77068.5,77068.48143455325,0.004078783633685119,1.0380000000000003,3.3770000000000002,-0.529784824462061,16.533,3.4849999999999994,1274170.8287999998,268583.7625,0.6518133679688282,0.6518127199042354,77068.33779713299,77068.51147776186,77068.48124112525,0.0040536854254320034,2.5870000000000033,3.3789999999999996,-0.13275226282266106,18.064000000000004,4.627,1392160.0877,356599.38800000004,0.5921731082808164,0.5921687425227428,77068.20680358724,77069.24313810245,77069.03181556039,0.07549335174017223,3.912000000000006,4.444999999999999,-0.06377886801483701,21.056000000000008,6.102000000000003,1622736.7047,470281.17100000003,0.5506296487222917,0.5506190592445688,77067.6626472264,77070.0050803015,77069.4787703146,0.13348786884935376,6.171000000000012,2.940000000000003,0.35462627593019463,22.659000000000017,9.893000000000002,1746263.8529999997,762477.8569,0.3921725239616615,0.3921431976108908,77067.11915795041,77072.4610229455,77070.83755678685,0.30979691259557657,4.21400000000002,0.6770000000000032,0.7231649969331425,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-05-24T23:50:59.792000+00:00,1779666659792,ETHUSDT,13674023,389015816807,2101.74,2101.75,80.93,4.86,2101.745,0.010000000000218279,0.04757951131187789,2101.7494335004076,0.02109437827940898,80.93,4.86,170093.8182,10214.505000000001,0.8867000815945915,0.8866995730566474,2101.74,2101.75,2101.7494335004076,0.02109437827940898,1.3600000000000136,-8.96,1.0,85.10000000000002,5.090000000000001,178857.9175,10697.922100000003,0.8871271759618583,0.8871264306858104,2101.7381609870736,2101.752868369352,2101.7520383374663,0.03348806570912924,1.5100000000000193,-8.84,1.0,89.05000000000003,5.930000000000001,187159.44490000003,12463.510600000003,0.8751316066540323,0.8751294852960936,2101.7343615946097,2101.7724451939293,2101.770067474999,0.11926982102540931,0.9200000000000159,-8.259999999999998,1.0,216.11000000000007,56.58000000000001,454186.9024,118929.2934,0.5850232865158239,0.5849731894804011,2101.6468576188045,2101.967009544008,2101.90058174714,0.740250349782355,1.6800000000000068,31.750000000000014,-0.899491474723302,449.88,267.24,945422.9828,561778.4492,0.25468540829986613,0.25454098268133807,2101.5003618742776,2102.1495629396795,2101.9076334261836,0.7738018940626699,5.660000000000025,85.89000000000001,-0.8763517203713813,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-05-24T23:51:00.243000+00:00,1779666660243,BTCUSDT,13679372,578680333154,77068.4,77068.5,13.741,2.499,77068.45,0.10000000000582077,0.012975478293104475,77068.48461206898,0.004491081496927213,13.741,2.499,1058996.8843999999,192594.1815,0.6922413793103448,0.6922410414275234,77068.4,77068.5,77068.48461206898,0.004491081496927213,-1.234,-0.915,-0.1484411354118194,14.842,2.5699999999999994,1143848.5306,198066.08500000002,0.7048012864691019,0.7048007634801112,77068.35538337151,77068.51556420236,77068.49192161477,0.005439530024429812,-1.6910000000000007,-0.915,-0.29777436684574077,16.684,2.612999999999999,1285805.9448999998,201380.13230000003,0.729180701663471,0.7291796428337354,77068.20576000957,77068.55426712595,77068.50707589959,0.007405870961347777,-1.3800000000000026,-2.0140000000000007,0.18680023571007587,19.584,2.9879999999999978,1509292.636,230282.88059999997,0.7352472089314198,0.7352424446050059,77067.63868464052,77069.23714859443,77069.02554969784,0.0746803261046695,-1.4720000000000084,-3.114000000000005,0.3580462276493659,20.69600000000001,7.163999999999998,1594983.9167999995,552153.9705000002,0.485714285714286,0.4856837338990584,77067.25535369148,77073.41855108882,77071.83372890094,0.43905500901327027,-1.963000000000008,-2.7290000000000045,0.16325660699062114,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-05-24T23:51:00.592000+00:00,1779666660592,ETHUSDT,13674027,389015819336,2101.74,2101.75,80.93,3.14,2101.745,0.010000000000218279,0.04757951131187789,2101.7496265017244,0.022012669112988267,80.93,3.14,170093.8182,6599.495,0.9253003449506364,0.9253000028073503,2101.74,2101.75,2101.7496265017244,0.022012669112988267,0.0,-1.7200000000000002,1.0,85.18000000000002,3.34,179026.0612,7019.8565,0.9245368278355174,0.9245363017175195,2101.7382155435544,2101.7534431137724,2101.7528685533957,0.03743819252972082,0.0799999999999983,-1.7500000000000009,1.0,89.52000000000002,4.2,188147.2393,8827.4828,0.910371318822023,0.9103693843972683,2101.7341298033953,2101.7816190476187,2101.7794908484534,0.1641057714114479,0.46999999999999886,-1.7300000000000004,1.0,216.28000000000003,54.66000000000001,454544.3748,114893.89159999999,0.5965158337639329,0.5964658563381718,2101.6477473645273,2101.973867544822,2101.9080753803023,0.7759046901618242,0.16999999999995907,-1.9200000000000017,1.0,443.51000000000005,265.6,932038.2787,558331.6685,0.25089196316509427,0.25074754821921436,2101.50454037113,2102.1523663403614,2101.90972052035,0.783732186113582,-6.369999999999948,-1.6399999999999864,-0.5905118601747815,10,10,0,0.09999999999999999,0.0,210.17500000000004,0.0,1.0,1.0
